,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,0,0,0,0,
SiteName,Date_photos,Depth,Processor,ImageID,ImageWidth_cm,ImageLength_cm,AreaPerPt,TotalPts,Unknown,AnimalMacro,Object,Bedrock,Boulder,Cobble,Sand,Seagrass,DesmerestiaSpp,SargassumMuticum,MacrocystisPyrifera,NereocystisLuetkeana,EgregiaMenziesii,AlariaMarginata,LaminariaSetchellii,AgarumSpp,SaccharinaLatissima,CostariaCostata,PterygophoraCalifornica,PleurophycusGardneri,FucusSpp,HaplogloiaAndersonii,AnalipusJaponicus,UnknownBrown,CorallineStanding,CorallineCrustose,ChondracanthusExasperatus,MazzaellaSplendens,UnknownRed,UlvaLactuca,UnknownGreen,TurfAlgaeMix,Silt,PrionitisSpp,CallophyllisSpp,NeoptilotaSpp,PyropiaSpp,Total,Ab_CucumariaMiniata,Ab_UrticinaPiscivora,Ab_UrticinaCoriacea,Notes
Cable Beach (Blow Hole),8/7/2022,3,Claire Attridge,P8072383,48.97,36.73,40,48,0,7,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,48,0,0,0,
Cable Beach (Blow Hole),8/7/2022,3,Claire Attridge,P8072384,48.86,36.64,42,48,1,33,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,48,2,0,0,
Cable Beach (Blow Hole),8/7/2022,3,Claire Attridge,P8072385,50.92,38.19,45,48,0,1,0,9,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,10,2,0,2,8,0,0,0,0,48,0,0,0,
Cable Beach (Blow Hole),8/7/2022,3,Claire Attridge,P8072386,48.39,36.29,40,48,0,0,0,0,23,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,3,0,0,0,0,48,2,1,0,
Cable Beach (Blow Hole),8/7/2022,3,Claire Attridge,P8072387,51.56,38.71,45,48,0,23,2,0,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,3,0,0,0,0,48,1,0,0,
Cable Beach (Blow Hole),8/7/2022,3,Claire Attridge,P8072388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,Blurry
Cable Beach (Blow Hole),8/7/2022,3,Claire Attridge,P8072389,52.14,39.11,45,48,0,0,1,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,
Cable Beach (Blow Hole),8/7/2022,3,Claire Attridge,P8072390,52.11,39.08,45,48,0,1,2,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,
Cable Beach (Blow Hole),8/7/2022,3,Claire Attridge,P8072391,53.63,40.22,48,48,1,8,2,0,0,2,0,0,25,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,1,1,
Cable Beach (Blow Hole),8/7/2022,3,Claire Attridge,P8072392,57.14,42.85,58,48,0,14,0,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,1,0,0,6,3,0,0,0,0,48,0,0,0,
Cable Beach (Blow Hole),8/7/2022,3,Claire Attridge,P8072393,52.68,39.51,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cable Beach (Blow Hole),8/7/2022,3,Claire Attridge,P8072394,51.74,38.8,46,48,0,21,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,3,0,0,0,0,48,0,0,0,
Cable Beach (Blow Hole),8/7/2022,3,Claire Attridge,P8072395,50.88,38.16,45,48,0,2,0,0,8,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,
Cable Beach (Blow Hole),8/7/2022,3,Claire Attridge,P8072396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,
Cable Beach (Blow Hole),8/7/2022,3,Claire Attridge,P8072397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,
